module,phase,name,code,sequence,workflow-file,command,required,agent,description,output-location,outputs
ima,7-analysis,ROI Forecast,RF,10,.ima/workflows/7-analysis/roi-forecast.md,,false,roi,"Pre-campaign ROI forecast with expected reach, engagement, conversions, and ROAS",clients/[client-name]/reports/,forecast-*.md
ima,7-analysis,ROI Analyze,RA,20,.ima/workflows/7-analysis/performance-report.md,ima-roi-analyze,false,roi,"Post-campaign performance analysis with full metric breakdown and recommendations",clients/[client-name]/reports/,report-*.md
ima,7-analysis,ROI Compare,RC,30,.ima/workflows/7-analysis/roi-compare.md,,false,roi,"Compare ROI metrics across influencers — cost efficiency, performance ranking",clients/[client-name]/reports/,comparison-*.md
ima,7-analysis,ROI Benchmark,RB,40,.ima/workflows/7-analysis/roi-benchmark.md,,false,roi,"Compare performance against industry benchmarks by platform and tier",clients/[client-name]/reports/,benchmark-*.md
ima,7-analysis,ROI Optimize,RO,50,.ima/workflows/7-analysis/roi-optimize.md,,false,roi,"Generate budget optimization recommendations based on performance data",clients/[client-name]/reports/,optimization-*.md
ima,anytime,IMA Help,IH,,skill:ima-help,ima-help,false,,"Get unstuck — see what workflow steps come next or ask questions about IMA",,
ima,anytime,Guided Wizard,AS,,skill:ima-assist,ima-assist,false,assist,"Start the guided wizard for step-by-step workflow assistance",,
ima,anytime,Party Mode,PM,,.ima/workflows/party-mode/workflow.md,ima-party-mode,false,,"Orchestrate multi-agent discussions — bring multiple IMA agents together to collaborate",,
ima,anytime,Scout Expand,SE,,.ima/workflows/3-discovery/scout-expand.md,,false,scout,"Find more influencers similar to a given creator",clients/[client-name]/discovery/,expanded-*.md
ima,anytime,Brand Compare,BB,,.ima/workflows/2-research/brand-compare.md,,false,brand,"Compare two brands' influencer marketing approaches side by side",clients/[client-name]/research/,brand-compare*.md
ima,anytime,Campaign Match,CM,,.ima/workflows/5-planning/campaign-match.md,,false,campaign,"Score and match influencers to a campaign based on brand brief",clients/[client-name]/campaigns/,match-*.md
ima,anytime,Outreach Template,OT,,.ima/workflows/6-outreach/outreach-template.md,,false,outreach,"Generate a reusable outreach template (initial, follow-up, negotiation, thank-you)",clients/[client-name]/outreach/,template-*.md
ima,anytime,Audit Batch,AB,,.ima/workflows/4-vetting/audit-batch.md,,false,auditor,"Quick audit of multiple influencers in abbreviated format",clients/[client-name]/audits/,batch-audit*.md
